image_url,price,artist,title,date
https://d32dm0rphc51dk.cloudfront.net/koQ70T0s_CNn2KrwcOUCDQ/larger.jpg,"£4,800",Patrick Hughes,Golden,2022
https://d32dm0rphc51dk.cloudfront.net/Au_9nfokpk7eN_A7VyYxsg/larger.jpg,"US$15,000",Richard Hambleton,Purple Seascape,2017
https://d32dm0rphc51dk.cloudfront.net/pKUwy0PsT6tz5zsI9b80hg/larger.jpg,"US$6,500",Hunt Slonem,Pixie,2024
https://d32dm0rphc51dk.cloudfront.net/ljjYzbr9BufhPUuu2Bm8bQ/larger.jpg,"US$1,400",Tobias Stutz,Ablak IV,2024
https://d32dm0rphc51dk.cloudfront.net/icUrBgvdALlh0VzHtcRI-Q/larger.jpg,"US$6,000",Rick Prol,Cresent Moon,2022
https://d32dm0rphc51dk.cloudfront.net/9QX4Tmjrjltv5ZwcaNrzxA/larger.jpg,"US$7,500",Stikki Peaches,Lauren Bacall,2020
https://d32dm0rphc51dk.cloudfront.net/xz2VGyOLH1QcbiHDMOYO-w/larger.jpg,"US$6,500",Hunt Slonem,Ascension Rose,2024
https://d32dm0rphc51dk.cloudfront.net/w5sNoW53BrNTVkl8xI7KhQ/larger.jpg,"US$3,500",Rick Prol,"#2, Dada Toro Bus Tour",2012
https://d32dm0rphc51dk.cloudfront.net/pAenaMu2F31leMqhGfOgnA/larger.jpg,"US$7,000",Hunt Slonem,'Silver Tinsel' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/-fuHePkH5JIJH1k3ItJxNg/larger.jpg,"US$9,000-US$11,000",Hunt Slonem,Red Rover,2018
https://d32dm0rphc51dk.cloudfront.net/oHJOnES9UwuNfWdVp7uONw/larger.jpg,"US$7,000",Hunt Slonem,'Blue Flush' Unique painting,2023
https://d32dm0rphc51dk.cloudfront.net/Xk_hF-kDDuMeZxc86KSAow/larger.jpg,US$850,Nicole Williford,Morning in April,2024
https://d32dm0rphc51dk.cloudfront.net/N3gZkakfJtegPfG7CRNk9A/larger.jpg,US$125,"R.W. ""Rudy"" Beerens",Jutta Leerdam,2021
https://d32dm0rphc51dk.cloudfront.net/AuiLKkbwj2Z2hsGV-ctmBw/larger.jpg,"US$1,400",Tobias Stutz,Ablak III,2024
https://d32dm0rphc51dk.cloudfront.net/_Q4_pIBZr_V1Fm59wi5-lw/larger.jpg,"US$11,000",Hunt Slonem,3 Aqua Splash,2022
https://d32dm0rphc51dk.cloudfront.net/VznNgxKq56HJgzDIhik5Ig/larger.jpg,"US$7,000",Hunt Slonem,'Duet Pink Flight' Unique Painting,2023
https://d32dm0rphc51dk.cloudfront.net/pdCQxyILNJbVFTTmK_ohcQ/larger.jpg,"£7,000-£10,000",Damien Hirst,Spin,1995
